Opponent: actual Expert+ (ai_choose difficulty=1), unchanged search.
REINFORCE, alternating sides, terminal rewards, cap=1600 plies.
Resume=0 target=100000; session statistics start here.
game 22/100000 | learner red | ply 200 | elapsed 606s
game 22/100000 | learner red | ply 220 | elapsed 608s
game 22/100000 | learner red | ply 240 | elapsed 609s
game 22/100000 | learner red | ply 260 | elapsed 610s
game 22/100000 | learner red | ply 280 | elapsed 611s
game 22/100000 | learner red | ply 300 | elapsed 613s
game 22/100000 | learner red | ply 320 | elapsed 614s
game 22/100000 | learner red | ply 340 | elapsed 615s
game 22/100000 | learner red | ply 360 | elapsed 616s
game 22/100000 | learner red | ply 380 | elapsed 617s
game 22/100000 | learner red | ply 400 | elapsed 618s
game 22/100000 | learner red | ply 420 | elapsed 619s
game 22/100000 | learner red | ply 440 | elapsed 619s
game 22/100000 | learner red | ply 460 | elapsed 620s
SAVED 22/100000 | session W=0 L=22 capped=0 | last plies=477 | elapsed 620s
game 23/100000 | learner blue | ply 20 | elapsed 623s
game 23/100000 | learner blue | ply 40 | elapsed 625s
game 23/100000 | learner blue | ply 60 | elapsed 627s
game 23/100000 | learner blue | ply 80 | elapsed 629s
game 23/100000 | learner blue | ply 100 | elapsed 631s
game 23/100000 | learner blue | ply 120 | elapsed 633s
game 23/100000 | learner blue | ply 140 | elapsed 635s
game 23/100000 | learner blue | ply 160 | elapsed 637s
game 23/100000 | learner blue | ply 180 | elapsed 639s
game 23/100000 | learner blue | ply 200 | elapsed 641s
game 23/100000 | learner blue | ply 220 | elapsed 643s
game 23/100000 | learner blue | ply 240 | elapsed 644s
game 23/100000 | learner blue | ply 260 | elapsed 646s
game 23/100000 | learner blue | ply 280 | elapsed 647s
game 23/100000 | learner blue | ply 300 | elapsed 648s
game 23/100000 | learner blue | ply 320 | elapsed 649s
game 23/100000 | learner blue | ply 340 | elapsed 650s
game 23/100000 | learner blue | ply 360 | elapsed 651s
game 23/100000 | learner blue | ply 380 | elapsed 652s
game 23/100000 | learner blue | ply 400 | elapsed 652s
game 23/100000 | learner blue | ply 420 | elapsed 652s
game 23/100000 | learner blue | ply 440 | elapsed 653s
game 23/100000 | learner blue | ply 460 | elapsed 653s
game 23/100000 | learner blue | ply 480 | elapsed 653s
SAVED 23/100000 | session W=0 L=23 capped=0 | last plies=486 | elapsed 653s
game 24/100000 | learner red | ply 20 | elapsed 656s
game 24/100000 | learner red | ply 40 | elapsed 659s
game 24/100000 | learner red | ply 60 | elapsed 661s
game 24/100000 | learner red | ply 80 | elapsed 662s
game 24/100000 | learner red | ply 100 | elapsed 664s
game 24/100000 | learner red | ply 120 | elapsed 666s
game 24/100000 | learner red | ply 140 | elapsed 667s
game 24/100000 | learner red | ply 160 | elapsed 669s
game 24/100000 | learner red | ply 180 | elapsed 670s
game 24/100000 | learner red | ply 200 | elapsed 672s
game 24/100000 | learner red | ply 220 | elapsed 673s
game 24/100000 | learner red | ply 240 | elapsed 675s
game 24/100000 | learner red | ply 260 | elapsed 676s
game 24/100000 | learner red | ply 280 | elapsed 678s
game 24/100000 | learner red | ply 300 | elapsed 678s
game 24/100000 | learner red | ply 320 | elapsed 679s
game 24/100000 | learner red | ply 340 | elapsed 679s
SAVED 24/100000 | session W=0 L=24 capped=0 | last plies=357 | elapsed 679s
game 25/100000 | learner blue | ply 20 | elapsed 682s
game 25/100000 | learner blue | ply 40 | elapsed 683s
game 25/100000 | learner blue | ply 60 | elapsed 685s
game 25/100000 | learner blue | ply 80 | elapsed 687s
game 25/100000 | learner blue | ply 100 | elapsed 689s
game 25/100000 | learner blue | ply 120 | elapsed 690s
game 25/100000 | learner blue | ply 140 | elapsed 691s
game 25/100000 | learner blue | ply 160 | elapsed 693s
game 25/100000 | learner blue | ply 180 | elapsed 694s
game 25/100000 | learner blue | ply 200 | elapsed 695s
game 25/100000 | learner blue | ply 220 | elapsed 696s
game 25/100000 | learner blue | ply 240 | elapsed 697s
game 25/100000 | learner blue | ply 260 | elapsed 697s
game 25/100000 | learner blue | ply 280 | elapsed 698s
game 25/100000 | learner blue | ply 300 | elapsed 700s
game 25/100000 | learner blue | ply 320 | elapsed 701s
game 25/100000 | learner blue | ply 340 | elapsed 702s
game 25/100000 | learner blue | ply 360 | elapsed 703s
game 25/100000 | learner blue | ply 380 | elapsed 704s
game 25/100000 | learner blue | ply 400 | elapsed 705s
game 25/100000 | learner blue | ply 420 | elapsed 706s
game 25/100000 | learner blue | ply 440 | elapsed 707s
SAVED 25/100000 | session W=0 L=25 capped=0 | last plies=454 | elapsed 707s
